Release,Date from,Date to,Top 1 committing companies,Top 2 committing companies,Top 3 committing companies,Top 4 committing companies,Top 5 committing companies,Top 10 committing companies,Top 15 committing companies,Top 20 committing companies,Top 25 committing companies,Top 30 committing companies,Top 50 committing companies,Top 100 committing companies,Top 200 committing companies,Top 500 committing companies,Top 1000 committing companies
Quarter from 10/2015,10/1/2015,1/1/2016,LightStep,"LightStep,Uber","LightStep,Uber","LightStep,Uber","LightStep,Uber","LightStep,Uber","LightStep,Uber","LightStep,Uber","LightStep,Uber","LightStep,Uber","LightStep,Uber","LightStep,Uber","LightStep,Uber","LightStep,Uber","LightStep,Uber"
Quarter from 01/2016,1/1/2016,4/1/2016,LightStep,"LightStep,Uber","LightStep,Uber,The Last Pickle","LightStep,Uber,The Last Pickle,Cockroach Labs","LightStep,Uber,The Last Pickle,Cockroach Labs,Pivotal","LightStep,Uber,The Last Pickle,Cockroach Labs,Pivotal","LightStep,Uber,The Last Pickle,Cockroach Labs,Pivotal","LightStep,Uber,The Last Pickle,Cockroach Labs,Pivotal","LightStep,Uber,The Last Pickle,Cockroach Labs,Pivotal","LightStep,Uber,The Last Pickle,Cockroach Labs,Pivotal","LightStep,Uber,The Last Pickle,Cockroach Labs,Pivotal","LightStep,Uber,The Last Pickle,Cockroach Labs,Pivotal","LightStep,Uber,The Last Pickle,Cockroach Labs,Pivotal","LightStep,Uber,The Last Pickle,Cockroach Labs,Pivotal","LightStep,Uber,The Last Pickle,Cockroach Labs,Pivotal"
Quarter from 04/2016,4/1/2016,7/1/2016,LightStep,"LightStep,Uber","LightStep,Uber,The Last Pickle","LightStep,Uber,The Last Pickle,Pivotal","LightStep,Uber,The Last Pickle,Pivotal,Bloomberg","LightStep,Uber,The Last Pickle,Pivotal,Bloomberg","LightStep,Uber,The Last Pickle,Pivotal,Bloomberg","LightStep,Uber,The Last Pickle,Pivotal,Bloomberg","LightStep,Uber,The Last Pickle,Pivotal,Bloomberg","LightStep,Uber,The Last Pickle,Pivotal,Bloomberg","LightStep,Uber,The Last Pickle,Pivotal,Bloomberg","LightStep,Uber,The Last Pickle,Pivotal,Bloomberg","LightStep,Uber,The Last Pickle,Pivotal,Bloomberg","LightStep,Uber,The Last Pickle,Pivotal,Bloomberg","LightStep,Uber,The Last Pickle,Pivotal,Bloomberg"
Quarter from 07/2016,7/1/2016,10/1/2016,LightStep,"LightStep,Uber","LightStep,Uber,The Last Pickle","LightStep,Uber,The Last Pickle,Pivotal","LightStep,Uber,The Last Pickle,Pivotal,C3 Loyalty Services","LightStep,Uber,The Last Pickle,Pivotal,C3 Loyalty Services,Onwukike Uber,Cockroach Labs","LightStep,Uber,The Last Pickle,Pivotal,C3 Loyalty Services,Onwukike Uber,Cockroach Labs","LightStep,Uber,The Last Pickle,Pivotal,C3 Loyalty Services,Onwukike Uber,Cockroach Labs","LightStep,Uber,The Last Pickle,Pivotal,C3 Loyalty Services,Onwukike Uber,Cockroach Labs","LightStep,Uber,The Last Pickle,Pivotal,C3 Loyalty Services,Onwukike Uber,Cockroach Labs","LightStep,Uber,The Last Pickle,Pivotal,C3 Loyalty Services,Onwukike Uber,Cockroach Labs","LightStep,Uber,The Last Pickle,Pivotal,C3 Loyalty Services,Onwukike Uber,Cockroach Labs","LightStep,Uber,The Last Pickle,Pivotal,C3 Loyalty Services,Onwukike Uber,Cockroach Labs","LightStep,Uber,The Last Pickle,Pivotal,C3 Loyalty Services,Onwukike Uber,Cockroach Labs","LightStep,Uber,The Last Pickle,Pivotal,C3 Loyalty Services,Onwukike Uber,Cockroach Labs"
Quarter from 10/2016,10/1/2016,1/1/2017,LightStep,"LightStep,C3 Loyalty Services","LightStep,C3 Loyalty Services,Uber","LightStep,C3 Loyalty Services,Uber,The Last Pickle","LightStep,C3 Loyalty Services,Uber,The Last Pickle,Pivotal","LightStep,C3 Loyalty Services,Uber,The Last Pickle,Pivotal,Bloomberg,SkyWalking","LightStep,C3 Loyalty Services,Uber,The Last Pickle,Pivotal,Bloomberg,SkyWalking","LightStep,C3 Loyalty Services,Uber,The Last Pickle,Pivotal,Bloomberg,SkyWalking","LightStep,C3 Loyalty Services,Uber,The Last Pickle,Pivotal,Bloomberg,SkyWalking","LightStep,C3 Loyalty Services,Uber,The Last Pickle,Pivotal,Bloomberg,SkyWalking","LightStep,C3 Loyalty Services,Uber,The Last Pickle,Pivotal,Bloomberg,SkyWalking","LightStep,C3 Loyalty Services,Uber,The Last Pickle,Pivotal,Bloomberg,SkyWalking","LightStep,C3 Loyalty Services,Uber,The Last Pickle,Pivotal,Bloomberg,SkyWalking","LightStep,C3 Loyalty Services,Uber,The Last Pickle,Pivotal,Bloomberg,SkyWalking","LightStep,C3 Loyalty Services,Uber,The Last Pickle,Pivotal,Bloomberg,SkyWalking"
Quarter from 01/2017,1/1/2017,4/1/2017,LightStep,"LightStep,SkyWalking","LightStep,SkyWalking,Pivotal","LightStep,SkyWalking,Pivotal,Uber","LightStep,SkyWalking,Pivotal,Uber","LightStep,SkyWalking,Pivotal,Uber","LightStep,SkyWalking,Pivotal,Uber","LightStep,SkyWalking,Pivotal,Uber","LightStep,SkyWalking,Pivotal,Uber","LightStep,SkyWalking,Pivotal,Uber","LightStep,SkyWalking,Pivotal,Uber","LightStep,SkyWalking,Pivotal,Uber","LightStep,SkyWalking,Pivotal,Uber","LightStep,SkyWalking,Pivotal,Uber","LightStep,SkyWalking,Pivotal,Uber"
Quarter from 04/2017,4/1/2017,7/1/2017,LightStep,"LightStep,Uber","LightStep,Uber,Pivotal","LightStep,Uber,Pivotal,C3 Loyalty Services","LightStep,Uber,Pivotal,C3 Loyalty Services,SkyWalking","LightStep,Uber,Pivotal,C3 Loyalty Services,SkyWalking,Bloomberg","LightStep,Uber,Pivotal,C3 Loyalty Services,SkyWalking,Bloomberg","LightStep,Uber,Pivotal,C3 Loyalty Services,SkyWalking,Bloomberg","LightStep,Uber,Pivotal,C3 Loyalty Services,SkyWalking,Bloomberg","LightStep,Uber,Pivotal,C3 Loyalty Services,SkyWalking,Bloomberg","LightStep,Uber,Pivotal,C3 Loyalty Services,SkyWalking,Bloomberg","LightStep,Uber,Pivotal,C3 Loyalty Services,SkyWalking,Bloomberg","LightStep,Uber,Pivotal,C3 Loyalty Services,SkyWalking,Bloomberg","LightStep,Uber,Pivotal,C3 Loyalty Services,SkyWalking,Bloomberg","LightStep,Uber,Pivotal,C3 Loyalty Services,SkyWalking,Bloomberg"
Quarter from 07/2017,7/1/2017,10/1/2017,Typeform.com,"Typeform.com,Uber","Typeform.com,Uber,LightStep","Typeform.com,Uber,LightStep,Toptal","Typeform.com,Uber,LightStep,Toptal,Pivotal","Typeform.com,Uber,LightStep,Toptal,Pivotal,C3 Loyalty Services,Bloomberg,SkyWalking","Typeform.com,Uber,LightStep,Toptal,Pivotal,C3 Loyalty Services,Bloomberg,SkyWalking","Typeform.com,Uber,LightStep,Toptal,Pivotal,C3 Loyalty Services,Bloomberg,SkyWalking","Typeform.com,Uber,LightStep,Toptal,Pivotal,C3 Loyalty Services,Bloomberg,SkyWalking","Typeform.com,Uber,LightStep,Toptal,Pivotal,C3 Loyalty Services,Bloomberg,SkyWalking","Typeform.com,Uber,LightStep,Toptal,Pivotal,C3 Loyalty Services,Bloomberg,SkyWalking","Typeform.com,Uber,LightStep,Toptal,Pivotal,C3 Loyalty Services,Bloomberg,SkyWalking","Typeform.com,Uber,LightStep,Toptal,Pivotal,C3 Loyalty Services,Bloomberg,SkyWalking","Typeform.com,Uber,LightStep,Toptal,Pivotal,C3 Loyalty Services,Bloomberg,SkyWalking","Typeform.com,Uber,LightStep,Toptal,Pivotal,C3 Loyalty Services,Bloomberg,SkyWalking"
Quarter from 10/2017,10/1/2017,1/1/2018,Toptal,"Toptal,Typeform.com","Toptal,Typeform.com,Uber","Toptal,Typeform.com,Uber,LightStep","Toptal,Typeform.com,Uber,LightStep,Pivotal","Toptal,Typeform.com,Uber,LightStep,Pivotal,SkyWalking","Toptal,Typeform.com,Uber,LightStep,Pivotal,SkyWalking","Toptal,Typeform.com,Uber,LightStep,Pivotal,SkyWalking","Toptal,Typeform.com,Uber,LightStep,Pivotal,SkyWalking","Toptal,Typeform.com,Uber,LightStep,Pivotal,SkyWalking","Toptal,Typeform.com,Uber,LightStep,Pivotal,SkyWalking","Toptal,Typeform.com,Uber,LightStep,Pivotal,SkyWalking","Toptal,Typeform.com,Uber,LightStep,Pivotal,SkyWalking","Toptal,Typeform.com,Uber,LightStep,Pivotal,SkyWalking","Toptal,Typeform.com,Uber,LightStep,Pivotal,SkyWalking"
Quarter from 01/2018,1/1/2018,4/1/2018,C3 Loyalty Services,"C3 Loyalty Services,LightStep","C3 Loyalty Services,LightStep,Uber","C3 Loyalty Services,LightStep,Uber,Toptal","C3 Loyalty Services,LightStep,Uber,Toptal,Typeform.com","C3 Loyalty Services,LightStep,Uber,Toptal,Typeform.com,SkyWalking,Pivotal,TraceView,adRise","C3 Loyalty Services,LightStep,Uber,Toptal,Typeform.com,SkyWalking,Pivotal,TraceView,adRise","C3 Loyalty Services,LightStep,Uber,Toptal,Typeform.com,SkyWalking,Pivotal,TraceView,adRise","C3 Loyalty Services,LightStep,Uber,Toptal,Typeform.com,SkyWalking,Pivotal,TraceView,adRise","C3 Loyalty Services,LightStep,Uber,Toptal,Typeform.com,SkyWalking,Pivotal,TraceView,adRise","C3 Loyalty Services,LightStep,Uber,Toptal,Typeform.com,SkyWalking,Pivotal,TraceView,adRise","C3 Loyalty Services,LightStep,Uber,Toptal,Typeform.com,SkyWalking,Pivotal,TraceView,adRise","C3 Loyalty Services,LightStep,Uber,Toptal,Typeform.com,SkyWalking,Pivotal,TraceView,adRise","C3 Loyalty Services,LightStep,Uber,Toptal,Typeform.com,SkyWalking,Pivotal,TraceView,adRise","C3 Loyalty Services,LightStep,Uber,Toptal,Typeform.com,SkyWalking,Pivotal,TraceView,adRise"
